,Series Name,MP,MP_plus,TFR,Number of births,Number of women of childbearing age,EF,EM,Disposable income,"LFP, female (%)",DI_low,DI_high,recession,boom,unemployment rate,un_ave,move_in,move_out
TPH,1999-01,0,0,1.35,3261,1065670,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,12436,10345
TPH,1999-02,0,0,1.35,2828,1066750,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,11313,9445
TPH,1999-03,0,0,1.35,3950,1068370,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,14982,12001
TPH,1999-04,0,0,1.35,3482,1069790,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,12581,10147
TPH,1999-05,0,0,1.35,3445,1071210,9.8,10.58,892692,47.8,0,1,1,0,3,-1.2,13161,10535
TPH,1999-06,0,0,1.35,3331,1072360,9.8,10.58,892692,47.8,0,1,0,1,3,-1.2,13817,12036
TPH,1999-07,0,0,1.35,3470,1073730,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,13001,10638
TPH,1999-08,0,0,1.35,3388,1075270,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,15377,12385
TPH,1999-09,0,0,1.35,3339,1076750,9.8,10.58,892692,47.8,0,1,1,0,3.1,-1.1,11912,8856
TPH,1999-10,0,0,1.35,3540,1078020,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,10981,8825
TPH,1999-11,0,0,1.35,3508,1079000,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,9104,7889
TPH,1999-12,0,0,1.35,3582,1080190,9.8,10.58,892692,47.8,0,1,0,1,3.1,-1.1,10359,8718
TPH,2000-01,0,0,1.48,3500,1081200,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,9863,8641
TPH,2000-02,0,0,1.48,3206,1082740,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,11363,8584
TPH,2000-03,0,0,1.48,3885,1084280,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,12128,9291
TPH,2000-04,0,0,1.48,3317,1085440,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,11634,9610
TPH,2000-05,0,0,1.48,3684,1086810,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,13816,10894
TPH,2000-06,0,0,1.48,3394,1088430,10.05,10.81,882634,47.5,0,1,0,1,2.8,-1.4,15343,11549
TPH,2000-07,0,0,1.48,3659,1089830,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,12320,9956
TPH,2000-08,0,0,1.48,3835,1091280,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,13873,10802
TPH,2000-09,0,0,1.48,3904,1094114,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,12393,9371
TPH,2000-10,0,0,1.48,4129,1095370,10.05,10.81,882634,47.5,0,1,0,1,3.2,-1,10790,8337
TPH,2000-11,0,0,1.48,4224,1096493,10.05,10.81,882634,47.5,0,1,1,0,3.2,-1,10383,8193
TPH,2000-12,0,0,1.48,4187,1097723,10.05,10.81,882634,47.5,0,1,1,0,3.2,-1,12014,8808
TPH,2001-01,0,0,1.25,3448,1098029,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,9174,8039
TPH,2001-02,0,0,1.25,3284,1098308,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,12311,10220
TPH,2001-03,0,0,1.25,3457,1098816,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,12159,9634
TPH,2001-04,0,0,1.25,3048,1099274,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,11175,8966
TPH,2001-05,0,0,1.25,3244,1099908,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,12971,10388
TPH,2001-06,0,0,1.25,3044,1100367,10.29,11.03,896186,48.2,0,1,1,0,4.2,0,12298,11206
TPH,2001-07,0,0,1.25,3122,1101241,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,11813,9987
TPH,2001-08,0,0,1.25,3397,1101923,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,45286,42556
TPH,2001-09,0,0,1.25,2771,1102298,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,7928,6243
TPH,2001-10,0,0,1.25,3717,1102521,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,8592,7270
TPH,2001-11,0,0,1.25,3323,1102675,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,7730,6346
TPH,2001-12,0,0,1.25,3249,1102480,10.29,11.03,896186,48.2,0,1,1,0,5.6,1.4,12973,11095
TPH,2002-01,0,0,1.17,3048,1102155,10.49,11.21,899975,48.8,0,1,1,0,5.5,1.3,12058,11001
TPH,2002-02,0,0,1.17,2587,1101621,10.49,11.21,899975,48.8,0,1,1,0,5.5,1.3,11820,11198
TPH,2002-03,0,0,1.17,3053,1101828,10.49,11.21,899975,48.8,0,1,1,0,5.5,1.3,11524,10107
TPH,2002-04,0,0,1.17,3123,1102073,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,11037,9807
TPH,2002-05,0,0,1.17,3165,1102620,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,12342,10508
TPH,2002-06,0,0,1.17,2702,1103114,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,13732,12323
TPH,2002-07,0,0,1.17,3216,1103561,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,13739,13391
TPH,2002-08,0,0,1.17,3062,1104239,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,14140,12388
TPH,2002-09,0,0,1.17,3029,1104412,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,10336,8799
TPH,2002-10,0,0,1.17,3373,1104173,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,8369,8469
TPH,2002-11,0,0,1.17,3111,1103623,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,7142,7371
TPH,2002-12,0,0,1.17,3393,1104163,10.49,11.21,899975,48.8,0,1,0,1,5.5,1.3,11254,8600
TPH,2003-01,0,0,1.08,2888,1104191,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,10650,8617
TPH,2003-02,0,0,1.08,2592,1104403,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,10435,8070
TPH,2003-03,0,0,1.08,2963,1104460,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,10950,8789
TPH,2003-04,0,0,1.08,2824,1105042,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,10780,8826
TPH,2003-05,0,0,1.08,2719,1105827,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,11148,8831
TPH,2003-06,0,0,1.08,2668,1106450,11.01,11.7,905166,48.4,0,1,1,0,5.2,1,11720,10333
TPH,2003-07,0,0,1.08,2844,1107139,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,11930,10403
TPH,2003-08,0,0,1.08,2594,1107888,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,12422,10219
TPH,2003-09,0,0,1.08,2934,1108546,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,11837,9404
TPH,2003-10,0,0,1.08,3098,1109256,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,9143,8012
TPH,2003-11,0,0,1.08,2824,1109819,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,8172,7297
TPH,2003-12,0,0,1.08,3338,1110170,11.01,11.7,905166,48.4,0,1,0,1,5.2,1,10381,8588
TPH,2004-01,0,0,1.05,2586,1110050,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,8294,7417
TPH,2004-02,0,0,1.05,2590,1109765,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,10692,8684
TPH,2004-03,0,0,1.05,2881,1109369,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,9666,8181
TPH,2004-04,0,0,1.05,2589,1109710,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,11728,9851
TPH,2004-05,0,0,1.05,2522,1109887,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,11512,9599
TPH,2004-06,0,0,1.05,2599,1110305,11.13,11.8,918055,48.5,0,1,0,1,4.6,0.4,11867,10763
TPH,2004-07,0,0,1.05,2627,1111197,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,11240,9764
TPH,2004-08,0,0,1.05,2748,1111540,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,12186,10628
TPH,2004-09,0,0,1.05,2956,1111813,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,10835,8773
TPH,2004-10,0,0,1.05,2920,1111639,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,7569,6506
TPH,2004-11,0,0,1.05,3178,1111454,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,7786,6940
TPH,2004-12,0,0,1.05,3035,1111265,11.13,11.8,918055,48.5,0,1,0,1,4.5,0.3,9857,8722
TPH,2005-01,0,0,0.99,2804,1111232,11.23,11.89,934211,48.8,0,1,0,1,4.2,0,9888,8295
TPH,2005-02,0,0,0.99,2210,1110641,11.23,11.89,934211,48.8,0,1,0,1,4.2,0,7989,6755
TPH,2005-03,0,0,0.99,2871,1110067,11.23,11.89,934211,48.8,0,1,1,0,4.2,0,11230,9916
TPH,2005-04,0,0,0.99,2371,1109970,11.23,11.89,934211,48.8,0,1,1,0,4.2,0,10389,9154
TPH,2005-05,0,0,0.99,2673,1110528,11.23,11.89,934211,48.8,0,1,1,0,4.2,0,12206,10200
TPH,2005-06,0,0,0.99,2505,1111080,11.23,11.89,934211,48.8,0,1,1,0,4.2,0,12488,11357
TPH,2005-07,0,0,0.99,2507,1111623,11.23,11.89,934211,48.8,0,1,1,0,4.1,-0.1,11275,10187
TPH,2005-08,0,0,0.99,2707,1111653,11.23,11.89,934211,48.8,0,1,0,1,4.1,-0.1,13431,13708
TPH,2005-09,0,0,0.99,2643,1112052,11.23,11.89,934211,48.8,0,1,0,1,4.1,-0.1,11397,9480
TPH,2005-10,0,0,0.99,2662,1111936,11.23,11.89,934211,48.8,0,1,0,1,4.1,-0.1,7966,7178
TPH,2005-11,0,0,0.99,2943,1112251,11.23,11.89,934211,48.8,0,1,0,1,4.1,-0.1,8687,6746
TPH,2005-12,0,0,0.99,2780,1112429,11.23,11.89,934211,48.8,0,1,0,1,4.1,-0.1,11316,10254
TPH,2006-01,0,0,1.01,2575,1111747,11.34,11.99,930130,49.1,0,1,0,1,3.8,-0.4,10087,9631
TPH,2006-02,0,0,1.01,2466,1111660,11.34,11.99,930130,49.1,0,1,0,1,3.8,-0.4,10873,9696
TPH,2006-03,0,0,1.01,2862,1110618,11.34,11.99,930130,49.1,0,1,0,1,3.8,-0.4,10707,10320
TPH,2006-04,0,0,1.01,2341,1110090,11.34,11.99,930130,49.1,0,1,0,1,3.8,-0.4,8693,8490
TPH,2006-05,0,0,1.01,2683,1110022,11.34,11.99,930130,49.1,0,1,0,1,3.8,-0.4,10776,9735
TPH,2006-06,0,0,1.01,2646,1110250,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,12731,12165
TPH,2006-07,0,0,1.01,2627,1110839,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,11503,10810
TPH,2006-08,0,0,1.01,2791,1110694,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,14158,12276
TPH,2006-09,0,0,1.01,2599,1110500,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,11061,9413
TPH,2006-10,0,0,1.01,2891,1111128,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,8408,7876
TPH,2006-11,0,0,1.01,3131,1111508,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,8909,8726
TPH,2006-12,0,0,1.01,2680,1112823,11.34,11.99,930130,49.1,0,1,1,0,3.8,-0.4,15298,11693
TPH,2007-01,0,0,1,2980,1113275,11.46,12.1,912968,50.2,0,1,1,0,3.8,-0.4,11249,8924
TPH,2007-02,0,0,1,1995,1112082,11.46,12.1,912968,50.2,0,1,1,0,3.8,-0.4,6792,5839
TPH,2007-03,0,0,1,2893,1111446,11.46,12.1,912968,50.2,0,1,0,1,3.8,-0.4,10402,9467
TPH,2007-04,0,0,1,2476,1111480,11.46,12.1,912968,50.2,0,1,1,0,3.8,-0.4,9042,8431
TPH,2007-05,0,0,1,2669,1112077,11.46,12.1,912968,50.2,0,1,1,0,3.8,-0.4,11899,9818
TPH,2007-06,0,0,1,2319,1112507,11.46,12.1,912968,50.2,0,1,0,1,3.8,-0.4,10332,8974
TPH,2007-07,0,0,1,2631,1113436,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,10903,9436
TPH,2007-08,0,0,1,2859,1114006,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,12728,10401
TPH,2007-09,0,0,1,2326,1114712,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,10273,7498
TPH,2007-10,0,0,1,3116,1114495,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,7900,6677
TPH,2007-11,0,0,1,3015,1114467,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,7038,6415
TPH,2007-12,0,0,1,3165,1114363,11.46,12.1,912968,50.2,0,1,0,1,3.9,-0.3,7256,6226
TPH,2008-01,0,0,0.97,3027,1113922,11.56,12.19,972062,50,0,1,0,1,3.7,-0.5,8188,7148
TPH,2008-02,0,0,0.97,2549,1113752,11.56,12.19,972062,50,0,1,0,1,3.7,-0.5,7679,6684
TPH,2008-03,0,0,0.97,2530,1113592,11.56,12.19,972062,50,0,1,0,1,3.7,-0.5,8290,7384
TPH,2008-04,0,0,0.97,2552,1113332,11.56,12.19,972062,50,0,1,0,1,3.7,-0.5,10264,9735
TPH,2008-05,0,0,0.97,2421,1113386,11.56,12.19,972062,50,0,1,1,0,3.7,-0.5,11668,10021
TPH,2008-06,0,0,0.97,2284,1113725,11.56,12.19,972062,50,0,1,1,0,3.7,-0.5,11113,9817
TPH,2008-07,0,0,0.97,2735,1114261,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,11547,9121
TPH,2008-08,0,0,0.97,2430,1114521,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,11762,9215
TPH,2008-09,0,0,0.97,2640,1114811,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,11776,8679
TPH,2008-10,0,0,0.97,3077,1114977,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,9019,7095
TPH,2008-11,0,0,0.97,3314,1115197,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,9333,7044
TPH,2008-12,0,0,0.97,2696,1115470,11.56,12.19,972062,50,0,1,1,0,4.4,0.2,11504,8683
TPH,2009-01,0,0,0.96,2282,1115646,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,7301,5059
TPH,2009-02,0,0,0.96,2908,1115527,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,12404,9760
TPH,2009-03,0,0,0.96,3448,1115063,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,11040,9091
TPH,2009-04,0,0,0.96,1682,1114767,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,9776,8302
TPH,2009-05,0,0,0.96,2133,1114784,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,9387,7840
TPH,2009-06,0,0,0.96,2679,1114771,11.67,12.3,922690,50.3,0,1,1,0,5.8,1.6,11506,10511
TPH,2009-07,0,0,0.96,2720,1115506,11.67,12.3,922690,50.3,0,1,1,0,6,1.8,11843,9548
TPH,2009-08,0,0,0.96,2560,1116283,11.67,12.3,922690,50.3,0,1,1,0,6,1.8,13273,9641
TPH,2009-09,0,0,0.96,2700,1117046,11.67,12.3,922690,50.3,0,1,1,0,6,1.8,12676,8245
TPH,2009-10,0,0,0.96,2890,1117494,11.67,12.3,922690,50.3,0,1,0,1,6,1.8,8985,6618
TPH,2009-11,0,0,0.96,2932,1117899,11.67,12.3,922690,50.3,0,1,0,1,6,1.8,8575,6597
TPH,2009-12,0,0,0.96,3159,1118233,11.67,12.3,922690,50.3,0,1,0,1,6,1.8,10132,7978
TPH,2010-01,0,0,0.82,2594,1117930,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,8779,7284
TPH,2010-02,0,0,0.82,2095,1117139,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,7895,6376
TPH,2010-03,0,0,0.82,2705,1117075,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,12390,9386
TPH,2010-04,0,0,0.82,2239,1117278,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,10959,8490
TPH,2010-05,0,0,0.82,2193,1116621,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,11667,11332
TPH,2010-06,0,0,0.82,2173,1114452,11.76,12.4,893859,50.1,0,1,0,1,5.5,1.3,12706,18125
TPH,2010-07,0,0,0.82,2098,1116958,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,17179,9527
TPH,2010-08,0,0,0.82,2232,1117215,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,12746,9641
TPH,2010-09,0,0,0.82,2133,1116167,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,10571,10813
TPH,2010-10,0,0,0.82,2134,1115428,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,7494,7006
TPH,2010-11,0,0,0.82,2497,1115323,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,7768,6229
TPH,2010-12,0,0,0.82,2524,1114539,11.76,12.4,893859,50.1,0,1,0,1,5,0.8,10513,10395
TPH,2011-01,20000,0,1.04,2294,1113272,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,9166,9640
TPH,2011-02,20000,0,1.04,2021,1112387,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,7854,7638
TPH,2011-03,20000,0,1.04,2886,1111416,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,10783,10773
TPH,2011-04,20000,0,1.04,2718,1110912,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,9637,8859
TPH,2011-05,20000,0,1.04,2950,1110635,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,10484,9805
TPH,2011-06,20000,0,1.04,2757,1110687,11.86,12.5,927075,50.4,0,1,0,1,4.4,0.2,10656,9923
TPH,2011-07,20000,0,1.04,2814,1110723,11.86,12.5,927075,50.4,0,1,0,1,4.3,0.1,10641,9658
TPH,2011-08,20000,0,1.04,2987,1110396,11.86,12.5,927075,50.4,0,1,1,0,4.3,0.1,11652,10370
TPH,2011-09,20000,0,1.04,3076,1109869,11.86,12.5,927075,50.4,0,1,1,0,4.3,0.1,10834,10049
TPH,2011-10,20000,0,1.04,3118,1109258,11.86,12.5,927075,50.4,0,1,1,0,4.3,0.1,7482,7566
TPH,2011-11,20000,0,1.04,3257,1108475,11.86,12.5,927075,50.4,0,1,1,0,4.3,0.1,6912,6908
TPH,2011-12,20000,0,1.04,3445,1108090,11.86,12.5,927075,50.4,0,1,1,0,4.3,0.1,7051,6284
TPH,2012-01,20000,0,1.27,2563,1107320,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,6480,6315
TPH,2012-02,20000,0,1.27,3122,1106259,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,9859,9385
TPH,2012-03,20000,0,1.27,3430,1105306,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,9965,10172
TPH,2012-04,20000,0,1.27,3093,1104344,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,8647,9160
TPH,2012-05,20000,0,1.27,3351,1103642,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,10946,10153
TPH,2012-06,20000,0,1.27,3440,1103164,11.95,12.59,911915,51.1,0,1,1,0,4.2,0,9069,8736
TPH,2012-07,20000,0,1.27,3028,1103467,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,10825,9944
TPH,2012-08,20000,0,1.27,3492,1102687,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,11525,10850
TPH,2012-09,20000,0,1.27,3510,1102186,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,9367,8523
TPH,2012-10,20000,0,1.27,4098,1101187,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,7908,7894
TPH,2012-11,20000,0,1.27,3885,1100424,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,7348,7365
TPH,2012-12,20000,0,1.27,3835,1099528,11.95,12.59,911915,51.1,0,1,1,0,4.3,0.1,7451,7451
TPH,2013-01,20000,0,1.06,3967,1098531,12.04,12.68,931239,51,0,1,1,0,4.1,-0.1,8046,7908
TPH,2013-02,20000,0,1.06,2781,1096795,12.04,12.68,931239,51,0,1,1,0,4.1,-0.1,5894,6154
TPH,2013-03,20000,0,1.06,3084,1095370,12.04,12.68,931239,51,0,1,1,0,4.1,-0.1,8564,8874
TPH,2013-04,20000,0,1.06,2802,1094037,12.04,12.68,931239,51,0,1,1,0,4.1,-0.1,8190,8637
TPH,2013-05,20000,0,1.06,2909,1093062,12.04,12.68,931239,51,0,1,1,0,4.1,-0.1,10712,10095
TPH,2013-06,20000,0,1.06,2562,1092339,12.04,12.68,931239,51,0,1,0,1,4.1,-0.1,8550,8692
TPH,2013-07,20000,0,1.06,2978,1091772,12.04,12.68,931239,51,0,1,1,0,4.3,0.1,10206,9828
TPH,2013-08,20000,0,1.06,2869,1090891,12.04,12.68,931239,51,0,1,1,0,4.3,0.1,10299,9225
TPH,2013-09,20000,0,1.06,2751,1089884,12.04,12.68,931239,51,0,1,1,0,4.3,0.1,10236,9300
TPH,2013-10,20000,0,1.06,3133,1088172,12.04,12.68,931239,51,0,1,1,0,4.3,0.1,7922,7962
TPH,2013-11,20000,0,1.06,3006,1086937,12.04,12.68,931239,51,0,1,1,0,4.3,0.1,7307,7225
TPH,2013-12,20000,0,1.06,3073,1085554,12.04,12.68,931239,51,0,1,0,1,4.3,0.1,7667,7959
TPH,2014-01,20000,0,1.19,2865,1084169,12.13,12.75,947670,51,0,1,1,0,4,-0.2,6987,7206
TPH,2014-02,20000,0,1.19,2752,1082808,12.13,12.75,947670,51,0,1,0,1,4,-0.2,6645,7271
TPH,2014-03,20000,0,1.19,3206,1081190,12.13,12.75,947670,51,0,1,0,1,4,-0.2,8083,9290
TPH,2014-04,20000,0,1.19,3230,1079807,12.13,12.75,947670,51,0,1,0,1,4,-0.2,8625,10117
TPH,2014-05,20000,0,1.19,2878,1079006,12.13,12.75,947670,51,0,1,0,1,4,-0.2,10732,10633
TPH,2014-06,20000,0,1.19,3081,1078247,12.13,12.75,947670,51,0,1,0,1,4,-0.2,8623,9280
TPH,2014-07,20000,0,1.19,3259,1077631,12.13,12.75,947670,51,0,1,0,1,3.9,-0.3,9656,9990
TPH,2014-08,20000,0,1.19,2990,1076993,12.13,12.75,947670,51,0,1,0,1,3.9,-0.3,9142,8558
TPH,2014-09,20000,0,1.19,3400,1076036,12.13,12.75,947670,51,0,1,0,1,3.9,-0.3,8764,8808
TPH,2014-10,20000,0,1.19,3679,1074745,12.13,12.75,947670,51,0,1,0,1,3.9,-0.3,5996,6260
TPH,2014-11,20000,0,1.19,3274,1073307,12.13,12.75,947670,51,0,1,0,1,3.9,-0.3,4354,4913
TPH,2014-12,20000,0,1.19,3990,1072353,12.13,12.75,947670,51,0,1,1,0,3.9,-0.3,10702,10106
TPH,2015-01,20000,0,1.13,3202,1070909,12.2,12.82,959507,51.3,0,1,0,1,3.6,-0.6,7367,8010
TPH,2015-02,20000,0,1.13,2563,1069177,12.2,12.82,959507,51.3,0,1,0,1,3.6,-0.6,5958,7261
TPH,2015-03,20000,0,1.13,3429,1066845,12.2,12.82,959507,51.3,0,1,1,0,3.6,-0.6,8579,11315
TPH,2015-04,20000,0,1.13,2820,1065363,12.2,12.82,959507,51.3,0,1,1,0,3.6,-0.6,7919,9439
TPH,2015-05,20000,0,1.13,2872,1064503,12.2,12.82,959507,51.3,0,1,1,0,3.6,-0.6,9337,9323
TPH,2015-06,20000,0,1.13,2862,1063420,12.2,12.82,959507,51.3,0,1,1,0,3.6,-0.6,7977,8807
TPH,2015-07,20000,0,1.13,3070,1062872,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,9146,9037
TPH,2015-08,20000,0,1.13,2770,1061945,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,8551,8677
TPH,2015-09,20000,0,1.13,2842,1061157,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,8324,8116
TPH,2015-10,20000,0,1.13,3352,1060073,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,6537,6624
TPH,2015-11,20000,0,1.13,3115,1058845,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,5719,6085
TPH,2015-12,20000,0,1.13,3416,1057595,12.2,12.82,959507,51.3,0,1,1,0,3.8,-0.4,5964,6663
TPH,2016-01,20000,0,1.1,2865,1056231,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,6610,6791
TPH,2016-02,20000,0,1.1,2463,1054945,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,5990,6047
TPH,2016-03,20000,0,1.1,3157,1053095,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,7924,9141
TPH,2016-04,20000,0,1.1,2682,1052089,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,7074,7504
TPH,2016-05,20000,0,1.1,2902,1050906,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,9349,8993
TPH,2016-06,20000,0,1.1,2711,1049817,12.28,12.9,1011072,51,0,1,1,0,3.9,-0.3,7317,7967
TPH,2016-07,20000,0,1.1,2798,1048893,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,8277,8281
TPH,2016-08,20000,0,1.1,2838,1047751,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,9421,9143
TPH,2016-09,20000,0,1.1,2743,1046515,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,7922,7841
TPH,2016-10,20000,0,1.1,3117,1044967,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,6814,6684
TPH,2016-11,20000,0,1.1,2851,1043563,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,7375,6699
TPH,2016-12,20000,0,1.1,3204,1041654,12.28,12.9,1011072,51,0,1,0,1,4,-0.2,7161,7026
TPH,2017-01,20000,0,1.05,2462,1040689,12.35,12.97,1046576,51.3,0,1,0,1,3.8,-0.4,5920,5873
TPH,2017-02,20000,0,1.05,2518,1039421,12.35,12.97,1046576,51.3,0,1,0,1,3.8,-0.4,6933,6830
TPH,2017-03,20000,0,1.05,3186,1037913,12.35,12.97,1046576,51.3,0,1,0,1,3.8,-0.4,8335,8829
TPH,2017-04,20000,0,1.05,2346,1036891,12.35,12.97,1046576,51.3,0,1,1,0,3.8,-0.4,6980,6788
TPH,2017-05,20000,0,1.05,2702,1036083,12.35,12.97,1046576,51.3,0,1,1,0,3.8,-0.4,9245,8518
TPH,2017-06,20000,0,1.05,2549,1035090,12.35,12.97,1046576,51.3,0,1,1,0,3.8,-0.4,7961,8142
TPH,2017-07,20000,0,1.05,2642,1034378,12.35,12.97,1046576,51.3,0,1,1,0,3.7,-0.5,8316,7387
TPH,2017-08,20000,0,1.05,2686,1033210,12.35,12.97,1046576,51.3,0,1,0,1,3.7,-0.5,9471,9056
TPH,2017-09,20000,0,1.05,2509,1031934,12.35,12.97,1046576,51.3,0,1,0,1,3.7,-0.5,8039,7946
TPH,2017-10,20000,0,1.05,2665,1030489,12.35,12.97,1046576,51.3,0,1,0,1,3.7,-0.5,5833,6177
TPH,2017-11,20000,0,1.05,2730,1029305,12.35,12.97,1046576,51.3,0,1,0,1,3.7,-0.5,6438,6520
TPH,2017-12,20000,0,1.05,2616,1027652,12.35,12.97,1046576,51.3,0,1,1,0,3.7,-0.5,6661,6974
